"DATE"	"PAYEE"	"EXPENDITURE CODE"	"DESCRIPTION"	"AMOUNT"
"03/27/2018"	"LANDSLIDE COMMUNICATIONS"	""	"SLATE MAILER"	"$78,125.00"
"03/16/2018"	"FAIRBANK, MASLIN, MAULIN, METZ & ASSOCIATES, INC. (FM3)"	"INDEPENDENT EXPENDITURE SUPPORTING/OPPOSING OTHERS"	"WEBSITE/PUBLIC COMMUNICATIONS/OPPOSE/REPEAL TRANSPORTATION REVENUES (17-0033)/STATEWIDE"	"$68,500.00"
"03/21/2018"	"FAIRBANK, MASLIN, MAULIN, METZ & ASSOCIATES, INC. (FM3)"	"POLLING AND SURVEY RESEARCH"	""	"$59,500.00"
"04/20/2018"	"FAIRBANK, MASLIN, MAULIN, METZ & ASSOCIATES, INC. (FM3)"	"POLLING AND SURVEY RESEARCH"	""	"$50,250.00"
"06/13/2018"	"FAIRBANK, MASLIN, MAULLIN, METZ & ASSOCIATES, INC. (FM3)"	"POLLING AND SURVEY RESEARCH"	""	"$50,250.00"
"04/23/2018"	"CALIFORNIA DEMOCRATIC PARTY"	"CONTRIBUTION"	""	"$50,000.00"
"04/11/2018"	"BICKER, CASTILLO & FAIRBANKS"	"CAMPAIGN CONSULTANTS"	""	"$45,000.00"
"03/27/2018"	"COPS VOTER GUIDE"	""	"SLATE MAILER"	"$40,000.00"
"04/12/2018"	"VOTER GUIDE SLATE CARDS"	""	"SLATE MAILER"	"$26,550.00"
"05/19/2018"	"BUDGET WATCHDOGS"	""	"SLATE MAILER"	"$26,250.00"
"03/27/2018"	"BUDGET WATCHDOGS"	""	"SLATE MAILER"	"$26,250.00"
"03/16/2018"	"BICKER, CASTILLO & FAIRBANKS"	"CAMPAIGN CONSULTANTS"	""	"$26,094.48"
"05/15/2018"	"BICKER, CASTILLO & FAIRBANKS"	"INDEPENDENT EXPENDITURE SUPPORTING/OPPOSING OTHERS"	"WEBSITE/PUBLIC COMMUNICATIONS/OPPOSE/REPEAL TRANSPORTATION REVENUES (17-0033)/STATEWIDE"	"$23,323.84"
"05/15/2018"	"BICKER, CASTILLO & FAIRBANKS"	"CAMPAIGN CONSULTANTS"	""	"$22,500.00"
"05/29/2018"	"ELECTION DIGEST"	""	"SLATE MAILER"	"$22,500.00"
"03/27/2018"	"ELECTION DIGEST"	""	"SLATE MAILER"	"$22,500.00"
"06/13/2018"	"BICKER, CASTILLO & FAIRBANKS"	"CAMPAIGN CONSULTANTS"	""	"$22,500.00"
"06/13/2018"	"BICKER, CASTILLO & FAIRBANKS"	"INDEPENDENT EXPENDITURE SUPPORTING/OPPOSING OTHERS"	"WEBSITE/PUBLIC COMMUNICATIONS/OPPOSE/REPEAL TRANSPORTATION REVENUES (17-0033)/STATEWIDE"	"$22,500.00"
"03/21/2018"	"BICKER, CASTILLO & FAIRBANKS"	"INDEPENDENT EXPENDITURE SUPPORTING/OPPOSING OTHERS"	"WEBSITE/PUBLIC COMMUNICATIONS/OPPOSE/REPEAL TRANSPORTATION REVENUES (17-0033)/STATEWIDE"	"$22,437.11"
"03/21/2018"	"GRACE PUBLIC AFFAIRS"	"INDEPENDENT EXPENDITURE SUPPORTING/OPPOSING OTHERS"	"WEBSITE/PUBLIC COMMUNICATIONS/OPPOSE/REPEAL TRANSPORTATION REVENUES (17-0033)/STATEWIDE"	"$20,000.00"
"03/21/2018"	"BICKER, CASTILLO & FAIRBANKS"	"CAMPAIGN CONSULTANTS"	""	"$20,000.00"
"05/15/2018"	"BASK DIGITAL MEDIA, LLC"	"INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)"	""	"$18,688.00"
"02/27/2018"	"BICKER, CASTILLO & FAIRBANKS"	"INDEPENDENT EXPENDITURE SUPPORTING/OPPOSING OTHERS"	"WEBSITE/PUBLIC COMMUNICATIONS/OPPOSE/REPEAL TRANSPORTATION REVENUES (17-0033)/STATEWIDE"	"$18,594.28"
"02/27/2018"	"BICKER, CASTILLO & FAIRBANKS"	"CAMPAIGN CONSULTANTS"	""	"$17,500.00"
"06/13/2018"	"DAVID BINDER RESEARCH, INC."	"POLLING AND SURVEY RESEARCH"	""	"$17,000.00"
"04/11/2018"	"BASK DIGITAL MEDIA, LLC"	"CAMPAIGN CONSULTANTS"	""	"$16,500.00"
"05/15/2018"	"BICKER, CASTILLO & FAIRBANKS"	"STAFF/SPOUSE TRAVEL, LODGING AND MEALS"	""	"$15,011.24"
"03/27/2018"	"CALIFORNIA VOTER GUIDE"	""	"SLATE MAILER"	"$15,000.00"
"06/13/2018"	"BURTON AND THE BRAINS"	"FUNDRAISING EVENTS"	""	"$15,000.00"
"06/13/2018"	"GRACE PUBLIC AFFAIRS"	"INDEPENDENT EXPENDITURE SUPPORTING/OPPOSING OTHERS"	"WEBSITE/PUBLIC COMMUNICATIONS/OPPOSE/REPEAL TRANSPORTATION REVENUES (17-0033)/STATEWIDE"	"$15,000.00"
"04/11/2018"	"GRACE PUBLIC AFFAIRS"	"INDEPENDENT EXPENDITURE SUPPORTING/OPPOSING OTHERS"	"WEBSITE/PUBLIC COMMUNICATIONS/OPPOSE/REPEAL TRANSPORTATION REVENUES (17-0033)/STATEWIDE"	"$15,000.00"
"05/29/2018"	"CALIFORNIA VOTER GUIDE"	""	"SLATE MAILER"	"$15,000.00"
"04/03/2018"	"VOTER NEWSLETTER , A PROJECT OF COALITION FOR CALIFORNIA"	""	"SLATE MAILER"	"$15,000.00"
